date,symbol,fol_pct,room_used_pct,current_room,total_room,foreign_net_value,foreign_buy_value,foreign_sell_value,turnover_value,match_price
2026-07-07,PLX,20.0,69.87,77971928,258775616,-12368940000,3555560000,15924500000,115809.425,35100
2026-07-07,PNJ,49.0,98.43,3942840,250826843,-3985800000,4242420000,8228220000,30849.0,54600
2026-07-07,POW,50.0,9.7,1385192015,1533922844,5282713700,36455975000,31173261300,302741.185,14800
2026-07-07,PVD,50.0,19.67,223433374,278148003,2183813250,10668381500,8484568250,92958.285,31550
2026-07-07,PVT,49.0,26.54,169142994,230266305,-20055192000,1021965000,21077157000,89449.85,19050
2026-07-07,REE,49.0,100.0,0,305220527,151711300,2074036300,1922325000,53344.49,47250
2026-07-07,SAB,100.0,58.67,530080267,1282562372,-7746585000,7273255000,15019840000,41047.745,47150
2026-07-07,SBT,102.38,19.67,745437563,928026375,499170000,837935000,338765000,10927.565,21250
2026-07-07,SCS,32.27,28.93,21763510,30623094,203680000,529500000,325820000,4261.625,49050
2026-07-07,SHB,31.31,13.63,1242290757,1438260007,-95327375000,5468765000,100796140000,924128.215,13350
2026-07-07,SIP,49.0,4.71,113045328,118635342,-353905000,0,353905000,2703.56,49750
2026-07-07,SJS,50.0,1.14,147043536,148737414,-28725000,9450000,38175000,430.365,47800
2026-07-07,SSB,30.0,0.97,1018648883,1028640000,6764860000,9270415000,2505555000,39811.77,16400
2026-07-07,SSI,100.4,31.42,1716634773,2503089220,-66613417000,14554677000,81168094000,493224.18,26750
2026-07-07,STB,30.0,38.29,349003423,565564714,-50198260000,13973850000,64172110000,250274.4,70800
2026-07-07,SZC,20.0,6.25,33748616,35997172,-515158700,225975000,741133700,18962.605,21100
2026-07-07,TCB,22.54,95.95,64671095,1597139381,11066242500,42575027900,31508785400,359610.975,33750
2026-07-07,TCH,51.0,20.2,371231893,465175704,-9423422000,2368403000,11791825000,92047.75,13650
2026-07-07,TPB,30.0,78.17,181700717,832214061,-6466033350,3891910000,10357943350,157633.68,16200
2026-07-07,VCB,30.0,67.38,817754087,2506702528,15993609100,32009150000,16015540900,257199.14,61200
2026-07-07,VCG,49.0,4.4,302847031,316769484,3754180000,9665555000,5911375000,91242.675,20150
2026-07-07,VCI,100.0,18.09,940050387,1147631925,5314605000,9369035000,4054430000,187337.4,24450
2026-07-07,VGC,49.0,1.98,215332700,219691500,-1971305000,1942230000,3913535000,19467.025,42600
2026-07-07,VHC,100.0,18.95,169758808,209453159,1165970000,4468570000,3302600000,18688.65,57600
2026-07-07,VHM,50.0,15.15,1742502798,2053706002,-67887475300,121521220000,189408695300,1110248.81,154100
2026-07-07,VIB,4.99,83.29,28378029,169859884,-35421429000,9281490000,44702919000,225518.145,16100
2026-07-07,VIC,48.19,6.64,3467001609,3713436895,-2253180119000,47962801800,2301142920800,681322.89,220300
2026-07-07,VIX,100.0,7.53,2265875965,2450287772,-18944613450,3250181550,22194795000,894078.315,16300
2026-07-07,VJC,30.0,21.1,182055759,230727888,-9039576000,5911584000,14951160000,134950.83,140600
2026-07-07,VND,100.0,7.99,1400713034,1522299908,58760285000,62985480000,4225195000,372002.29,18200
2026-07-07,VNM,100.0,48.44,1077577417,2089955445,54011800000,123427310000,69415510000,176683.26,55300
2026-07-07,VPB,30.0,79.96,476884852,2380177080,36773433000,86028475000,49255042000,401220.175,27450
2026-07-07,VPI,49.0,19.8,125774476,156824292,-1507370000,529300000,2036670000,36797.16,61700
2026-07-07,VPL,49.0,3.82,845153895,878717184,-2935270000,1509390000,4444660000,56957.98,83000
2026-07-07,VRE,49.0,24.57,860786849,1141121020,-8564740000,19501780000,28066520000,151132.03,27700
2026-07-07,VSC,49.0,2.32,179188165,183441477,2147605000,2374850000,227245000,93209.215,17550
2026-07-07,VTP,49.0,8.05,77508155,84294650,140810000,357070000,216260000,16972.39,63200
